Gravity_or_SP     : 0 1
Number_of_Samples : 101
    Distance   SP_Anomaly
        0.00        15.72
        1.00        15.96
        2.00        16.22
        3.00        16.48
        4.00        16.75
        5.00        17.02
        6.00        17.31
        7.00        17.60
        8.00        17.90
        9.00        18.22
       10.00        18.54
       11.00        18.87
       12.00        19.22
       13.00        19.57
       14.00        19.94
       15.00        20.32
       16.00        20.71
       17.00        21.12
       18.00        21.54
       19.00        21.97
       20.00        22.42
       21.00        22.88
       22.00        23.36
       23.00        23.85
       24.00        24.36
       25.00        24.88
       26.00        25.41
       27.00        25.96
       28.00        26.52
       29.00        27.10
       30.00        27.68
       31.00        28.26
       32.00        28.84
       33.00        29.41
       34.00        29.97
       35.00        30.50
       36.00        30.99
       37.00        31.41
       38.00        31.74
       39.00        31.94
       40.00        31.97
       41.00        31.75
       42.00        31.21
       43.00        30.24
       44.00        28.68
       45.00        26.36
       46.00        23.04
       47.00        18.42
       48.00        12.16
       49.00         3.92
       50.00        -6.65
       51.00       -19.68
       52.00       -35.03
       53.00       -52.06
       54.00       -69.59
       55.00       -86.04
       56.00       -99.84
       57.00      -109.89
       58.00      -115.83
       59.00      -117.98
       60.00      -117.09
       61.00      -114.04
       62.00      -109.62
       63.00      -104.45
       64.00       -98.99
       65.00       -93.51
       66.00       -88.21
       67.00       -83.18
       68.00       -78.48
       69.00       -74.11
       70.00       -70.07
       71.00       -66.36
       72.00       -62.94
       73.00       -59.79
       74.00       -56.90
       75.00       -54.24
       76.00       -51.78
       77.00       -49.51
       78.00       -47.41
       79.00       -45.47
       80.00       -43.66
       81.00       -41.98
       82.00       -40.41
       83.00       -38.95
       84.00       -37.58
       85.00       -36.30
       86.00       -35.10
       87.00       -33.97
       88.00       -32.91
       89.00       -31.91
       90.00       -30.96
       91.00       -30.07
       92.00       -29.22
       93.00       -28.42
       94.00       -27.66
       95.00       -26.94
       96.00       -26.25
       97.00       -25.60
       98.00       -24.97
       99.00       -24.38
      100.00       -23.81
