      S          RMS           x0        Depth        Ampl.        Angle    MeanDepth    MeanAmpl.    MeanAngle
      1   3.5880e-03      55.0000       7.9992   -1199.9431      34.9995       7.9992   -1199.9431      34.9995
      2   3.6859e-03      55.0000       7.9991   -1199.9376      34.9993       7.9992   -1199.9403      34.9994
      3   3.4842e-03      55.0000       7.9994   -1199.9576      35.0000       7.9992   -1199.9461      34.9996
      4   3.2165e-03      55.0000       7.9997   -1199.9807      35.0008       7.9994   -1199.9548      34.9999
      5   2.9485e-03      55.0000       8.0001   -1200.0109      35.0019       7.9995   -1199.9660      35.0003
      6   2.9795e-03      55.0000       7.9994   -1199.9566      35.0000       7.9995   -1199.9644      35.0003
      7   2.8714e-03      55.0000       8.0001   -1200.0069      35.0017       7.9996   -1199.9705      35.0005
      8   2.8813e-03      55.0000       7.9995   -1199.9653      35.0003       7.9996   -1199.9698      35.0004
      9   2.8764e-03      55.0000       7.9996   -1199.9727      35.0005       7.9996   -1199.9702      35.0005
     10   2.8389e-03      55.0000       7.9999   -1199.9970      35.0014       7.9996   -1199.9728      35.0005
     11   2.8029e-03      55.0000       8.0001   -1200.0090      35.0018       7.9996   -1199.9761      35.0007
     12   2.8244e-03      55.0000       7.9993   -1199.9512      34.9998       7.9996   -1199.9740      35.0006
     13   2.7922e-03      55.0000       8.0002   -1200.0171      35.0021       7.9997   -1199.9774      35.0007
     14   2.7766e-03      55.0000       8.0001   -1200.0096      35.0018       7.9997   -1199.9797      35.0008
     15   2.8017e-03      55.0000       7.9990   -1199.9285      34.9990       7.9996   -1199.9763      35.0007
     16   2.7773e-03      55.0000       8.0004   -1200.0289      35.0025       7.9997   -1199.9795      35.0008
     17   2.7702e-03      55.0000       8.0000   -1200.0044      35.0017       7.9997   -1199.9810      35.0008
     18   2.7750e-03      55.0000       7.9995   -1199.9623      35.0002       7.9997   -1199.9800      35.0008
     19   2.7825e-03      55.0000       7.9994   -1199.9558      34.9999       7.9997   -1199.9787      35.0008
     20   2.7644e-03      55.0000       8.0008   -1200.0632      35.0037       7.9997   -1199.9829      35.0009
     21   2.7629e-03      55.0000       8.0005   -1200.0364      35.0028       7.9998   -1199.9855      35.0010
     22   2.7742e-03      55.0000       8.0009   -1200.0704      35.0040       7.9998   -1199.9893      35.0011
     23   2.7703e-03      55.0000       7.9996   -1199.9698      35.0004       7.9998   -1199.9885      35.0011
     24   2.7737e-03      55.0000       8.0001   -1200.0064      35.0017       7.9998   -1199.9892      35.0011
     25   2.7627e-03      55.0000       7.9983   -1199.8810      34.9973       7.9998   -1199.9849      35.0010
     26   2.7665e-03      55.0000       7.9988   -1199.9118      34.9984       7.9997   -1199.9821      35.0009
     27   2.7632e-03      55.0000       8.0011   -1200.0807      35.0043       7.9998   -1199.9857      35.0010
     28   2.7746e-03      55.0000       8.0012   -1200.0886      35.0046       7.9998   -1199.9894      35.0011
     29   2.7900e-03      55.0000       8.0008   -1200.0592      35.0036       7.9999   -1199.9918      35.0012
     30   2.7684e-03      55.0000       7.9983   -1199.8766      34.9972       7.9998   -1199.9880      35.0011
