    Distance     Observed   Calculated   Difference
        0.00       15.720       15.719        0.001
        1.00       15.960       15.964       -0.004
        2.00       16.220       16.217        0.003
        3.00       16.480       16.477        0.003
        4.00       16.750       16.745        0.005
        5.00       17.020       17.021       -0.001
        6.00       17.310       17.306        0.004
        7.00       17.600       17.600        0.000
        8.00       17.900       17.903       -0.003
        9.00       18.220       18.216        0.004
       10.00       18.540       18.539        0.001
       11.00       18.870       18.872       -0.002
       12.00       19.220       19.216        0.004
       13.00       19.570       19.572       -0.002
       14.00       19.940       19.940        0.000
       15.00       20.320       20.320        0.000
       16.00       20.710       20.712       -0.002
       17.00       21.120       21.118        0.002
       18.00       21.540       21.538        0.002
       19.00       21.970       21.971       -0.001
       20.00       22.420       22.418        0.002
       21.00       22.880       22.881       -0.001
       22.00       23.360       23.358        0.002
       23.00       23.850       23.850        0.000
       24.00       24.360       24.357        0.003
       25.00       24.880       24.878        0.002
       26.00       25.410       25.414       -0.004
       27.00       25.960       25.963       -0.003
       28.00       26.520       26.524       -0.004
       29.00       27.100       27.096        0.004
       30.00       27.680       27.675        0.005
       31.00       28.260       28.258        0.002
       32.00       28.840       28.840        0.000
       33.00       29.410       29.414       -0.004
       34.00       29.970       29.972       -0.002
       35.00       30.500       30.502       -0.002
       36.00       30.990       30.988        0.002
       37.00       31.410       31.410       -0.000
       38.00       31.740       31.740        0.000
       39.00       31.940       31.941       -0.001
       40.00       31.970       31.966        0.004
       41.00       31.750       31.751       -0.001
       42.00       31.210       31.212       -0.002
       43.00       30.240       30.237        0.003
       44.00       28.680       28.683       -0.003
       45.00       26.360       26.362       -0.002
       46.00       23.040       23.038        0.002
       47.00       18.420       18.418        0.002
       48.00       12.160       12.164       -0.004
       49.00        3.920        3.915        0.005
       50.00       -6.650       -6.646       -0.004
       51.00      -19.680      -19.681        0.001
       52.00      -35.030      -35.034        0.004
       53.00      -52.060      -52.066        0.006
       54.00      -69.590      -69.593        0.003
       55.00      -86.040      -86.040       -0.000
       56.00      -99.840      -99.840       -0.000
       57.00     -109.890     -109.891        0.001
       58.00     -115.830     -115.829       -0.001
       59.00     -117.980     -117.981        0.001
       60.00     -117.090     -117.095        0.005
       61.00     -114.040     -114.044        0.004
       62.00     -109.620     -109.623        0.003
       63.00     -104.450     -104.455        0.005
       64.00      -98.990      -98.988       -0.002
       65.00      -93.510      -93.513        0.003
       66.00      -88.210      -88.211        0.001
       67.00      -83.180      -83.183        0.003
       68.00      -78.480      -78.476       -0.004
       69.00      -74.110      -74.107       -0.003
       70.00      -70.070      -70.072        0.002
       71.00      -66.360      -66.356       -0.004
       72.00      -62.940      -62.937       -0.003
       73.00      -59.790      -59.793        0.003
       74.00      -56.900      -56.900        0.000
       75.00      -54.240      -54.236       -0.004
       76.00      -51.780      -51.779       -0.001
       77.00      -49.510      -49.510        0.000
       78.00      -47.410      -47.411        0.001
       79.00      -45.470      -45.465       -0.005
       80.00      -43.660      -43.658       -0.002
       81.00      -41.980      -41.977       -0.003
       82.00      -40.410      -40.411        0.001
       83.00      -38.950      -38.950       -0.000
       84.00      -37.580      -37.583        0.003
       85.00      -36.300      -36.302        0.002
       86.00      -35.100      -35.101        0.001
       87.00      -33.970      -33.972        0.002
       88.00      -32.910      -32.909       -0.001
       89.00      -31.910      -31.907       -0.003
       90.00      -30.960      -30.962        0.002
       91.00      -30.070      -30.068       -0.002
       92.00      -29.220      -29.222        0.002
       93.00      -28.420      -28.421        0.001
       94.00      -27.660      -27.660        0.000
       95.00      -26.940      -26.938       -0.002
       96.00      -26.250      -26.251        0.001
       97.00      -25.600      -25.597       -0.003
       98.00      -24.970      -24.973        0.003
       99.00      -24.380      -24.378       -0.002
      100.00      -23.810      -23.810        0.000
