Gravity_or_SP     : 0 1
Number_of_Samples : 101
    Distance   SP_Anomaly
        0.00        14.96
        1.00         6.82
        2.00         7.35
        3.00        18.47
        4.00        12.59
        5.00        21.86
        6.00        17.24
        7.00        12.36
        8.00        22.51
        9.00         9.79
       10.00        27.74
       11.00        31.66
       12.00        22.42
       13.00        26.33
       14.00        29.30
       15.00        28.20
       16.00        10.63
       17.00        19.97
       18.00        25.73
       19.00        10.54
       20.00        20.18
       21.00         8.72
       22.00        20.74
       23.00        26.13
       24.00        27.72
       25.00        31.71
       26.00        35.22
       27.00        23.81
       28.00        36.14
       29.00        37.45
       30.00        26.11
       31.00        29.37
       32.00        37.93
       33.00        28.75
       34.00        22.71
       35.00        25.42
       36.00        24.55
       37.00        20.57
       38.00        34.07
       39.00        31.09
       40.00        31.05
       41.00        33.05
       42.00        33.28
       43.00        38.10
       44.00        33.41
       45.00        20.92
       46.00        12.76
       47.00        25.29
       48.00         8.23
       49.00         8.67
       50.00        -7.28
       51.00       -25.27
       52.00       -42.39
       53.00       -65.93
       54.00       -77.58
       55.00       -92.15
       56.00      -100.94
       57.00      -105.74
       58.00      -113.52
       59.00      -119.41
       60.00      -126.61
       61.00      -113.81
       62.00      -111.44
       63.00      -107.36
       64.00       -90.84
       65.00       -90.29
       66.00       -86.83
       67.00       -87.69
       68.00       -80.01
       69.00       -82.90
       70.00       -72.00
       71.00       -64.41
       72.00       -46.99
       73.00       -64.21
       74.00       -61.12
       75.00       -51.98
       76.00       -50.32
       77.00       -49.41
       78.00       -46.34
       79.00       -55.96
       80.00       -30.52
       81.00       -35.80
       82.00       -44.60
       83.00       -45.50
       84.00       -44.48
       85.00       -53.10
       86.00       -37.58
       87.00       -22.04
       88.00       -38.55
       89.00       -39.36
       90.00       -31.20
       91.00       -43.55
       92.00       -32.10
       93.00       -35.93
       94.00       -23.34
       95.00       -31.25
       96.00       -25.03
       97.00       -21.39
       98.00       -20.93
       99.00       -19.54
      100.00       -26.74
